mode,task_id,region,memory_gb,latency_ms,cost,energy,status
海南优先,STR-036,海南,10.0,33.2018692972314,20.5046732430785,1.6403738594462798,SUCCEEDED
海南优先,STR-037,海南,8.0,32.369408159261376,18.423520398153443,1.4738816318522752,SUCCEEDED
海南优先,STR-038,海南,16.0,30.044694689222965,12.611736723057415,1.008938937844593,SUCCEEDED
海南优先,STR-039,海南,8.0,29.512201388639152,11.28050347159788,0.9024402777278302,SUCCEEDED
海南优先,STR-040,海南,8.0,34.59873552236866,23.99683880592166,1.9197471044737322,SUCCEEDED
海南优先,STR-041,海南,16.0,34.197965990869854,22.99491497717463,1.83959319817397,SUCCEEDED
海南优先,STR-042,海南,8.0,36.30757281863373,28.268932046584318,2.261514563726745,SUCCEEDED
海南优先,STR-043,海南,10.0,36.38873198797497,28.471829969937428,2.277746397594994,SUCCEEDED
海南优先,STR-044,海南,16.0,35.47142368399676,26.178559209991903,2.094284736799352,SUCCEEDED
海南优先,STR-045,海南,16.0,31.85052496953851,17.12631242384628,1.3701049939077021,SUCCEEDED
海南优先,STR-046,海南,10.0,36.0264960007297,27.566240001824255,2.20529920014594,SUCCEEDED
海南优先,STR-047,海南,10.0,32.11749662971537,17.79374157428842,1.4234993259430733,SUCCEEDED
海南优先,STR-048,海南,10.0,33.966537926738695,22.41634481684673,1.793307585347738,SUCCEEDED
海南优先,STR-049,海南,16.0,31.13902418240306,15.347560456007646,1.2278048364806113,SUCCEEDED
海南优先,STR-050,海南,10.0,36.73617694513628,29.340442362840697,2.3472353890272553,SUCCEEDED
海南优先,STR-051,海南,10.0,30.975911384627317,14.939778461568295,1.1951822769254634,SUCCEEDED
海南优先,STR-052,海南,16.0,30.491812999121635,13.729532497804088,1.098362599824327,SUCCEEDED
海南优先,STR-053,海南,8.0,36.58803199126531,28.970079978163284,2.317606398253062,SUCCEEDED
海南优先,STR-054,海南,8.0,29.099833321836794,10.249583304591985,0.8199666643673587,SUCCEEDED
海南优先,STR-055,海南,8.0,31.92268869512043,17.30672173780108,1.384537739024086,SUCCEEDED
海南优先,STR-056,海南,8.0,33.1051086501977,20.26277162549425,1.6210217300395395,SUCCEEDED
海南优先,STR-057,海南,16.0,36.27663393332601,28.191584833315023,2.255326786665201,SUCCEEDED
海南优先,STR-058,海南,8.0,35.470097180567535,26.175242951418838,2.0940194361135065,SUCCEEDED
海南优先,STR-059,海南,10.0,36.2909217204227,28.227304301056762,2.2581843440845404,SUCCEEDED
海南优先,STR-060,海南,8.0,32.97114975755299,19.92787439388248,1.594229951510598,SUCCEEDED
最小延迟,STR-001,海南,8.0,33.32378576451022,20.80946441127555,1.6647571529020435,SUCCEEDED
最小延迟,STR-002,海南,10.0,31.568364977787944,16.420912444469856,1.313672995557588,SUCCEEDED
最小延迟,STR-003,海南,10.0,31.64808081302437,16.620202032560933,1.3296161626048741,SUCCEEDED
最小延迟,STR-004,海南,8.0,32.71990307881464,19.299757697036593,1.5439806157629272,SUCCEEDED
最小延迟,STR-005,海南,16.0,32.89508987024774,19.737724675619337,1.5790179740495467,SUCCEEDED
